stationName,dow,06시이전,06~07시,07~08시,08~09시,09~10시,10~11시,11~12시,12~13시,13~14시,14~15시,15~16시,16~17시,17~18시,18~19시,19~20시,20~21시,21~22시,22~23시,23~24시,24시이후
건대입구,SAT,48.56,186.11,216.78,571.22,800.44,1081.22,1606.89,1941.89,2373.89,2513.89,2723.67,2961.67,3231.78,3534.67,3428.89,3216.67,2625,2219.11,1817.44,1083.56
건대입구,SUN,41.67,167.89,165.78,356.44,499.22,776.22,1182.22,1536.56,1917.22,1996.11,2157.33,2392,2624.78,2729,2461.56,2253.78,1897.56,1595.67,1283.67,688.33
구의,MON,56.22,386.56,328.89,1050.67,762.11,1166.78,818.67,752,789.67,815.67,1058.33,1134.33,1616.33,2302.44,2161.33,2585,1989.44,1406.56,1047.78,695.89
구의,TUE,61.33,415.89,382.67,1234.89,831.44,1222.67,823.11,787.67,781.11,846.33,1050,1255,1649.22,2668.33,2381,2698.33,2102.67,1554.89,1110.78,812.78
구의,WED,58.56,426.88,401,1327.63,843.88,1299.63,847.88,749.25,802.25,904.63,1127.75,1259.75,1751.5,2922.5,2574.75,2730.38,2105.88,1572.88,1159.25,863
구의,THU,54.89,436.5,393.75,1266,794.5,1083.13,771.5,722.5,770.75,836.75,1054.38,1194,1664.13,2673.88,2397.5,2474.25,1933.5,1489.63,1139.13,843.38
구의,FRI,62.33,387.33,346.44,1187.33,744.89,1181.33,775.22,721.56,799.44,889,1049.78,1255.11,1715.44,2556.22,2328.78,2505.22,2032.44,1487.22,1205.22,942.78
구의,SAT,39,325.22,167.78,564.67,417,535.89,641,718.22,833.22,894.78,1050.78,1132.89,1320.22,1407.56,1366.56,1388.89,1231,1140.78,1050.11,611.78
구의,SUN,23.67,132.33,107.44,253.56,283.44,348.44,419.33,522.78,615,715.11,841.89,939.11,1085,1138.78,1118.78,1069.56,1064.56,928.67,763.22,367.67
강변,MON,79.22,498.33,523.33,1186.56,1056.89,1418.11,1195.22,1194.44,1205.56,1309.67,1579.78,1699.44,2113.22,2740.67,2522.11,2845.22,2048.33,1467.89,984.67,662.44
